article_slug,type,total_ctas,button_ctas,word_count,density,flagged
building-a-garden-shed-from-pallets,informational,1,0,2173,0.46,False
cast-aluminum-outdoor-dining-set,review,2,0,1937,1.03,False
cedar-greenhouse-kit,review,5,0,1702,2.94,False
cedar-pergola-kit,roundup,4,0,3127,1.28,False
cedar-raised-bed-kit,review,4,3,2160,1.85,False
cedar-raised-garden-bed-kit,review,4,3,2165,1.85,False
chair-swing-for-porch,roundup,6,0,2535,2.37,False
composite-outdoor-dining-set,review,1,0,1579,0.63,False
compost-bin-lid,roundup,15,0,2796,5.36,False
compost-worms-for-sale,comparison,4,0,2258,1.77,False
counter-height-outdoor-bar-stools,roundup,5,0,3012,1.66,False
cute-garden-gloves,roundup,2,0,2630,0.76,False
deck-hook-for-bird-feeder,buyer_guide,4,0,2178,1.84,False
deer-off-repellent,buyer_guide,6,0,2504,2.4,False
deer-out-deer-repellent,buyer_guide,4,0,2429,1.65,False
deer-repellent-granules,buyer_guide,7,0,2613,2.68,False
dewalt-cordless-lawn-mower,review,5,4,2034,2.46,False
drip-irrigation-conversion-kit,comparison,4,0,2266,1.77,False
drip-irrigation-kit-for-potted-plants,roundup,5,0,3107,1.61,False
drip-irrigation-kits-for-raised-beds,roundup,10,0,2810,3.56,False
ego-hedge-trimmer-attachment,review,6,3,2251,2.67,False
ego-hedge-trimmer-with-battery-and-charger,review,6,5,2284,2.63,False
ego-leaf-blower-gutter-attachment,review,6,3,2298,2.61,False
ego-pole-hedge-trimmer,review,4,3,2094,1.91,False
ego-power-hedge-trimmer,review,4,3,2198,1.82,False
ego-power-lm2100-56-volt-21-in-cordless-push-lawn-mower,review,4,3,2207,1.81,False
ego-robot-mower,review,1,0,1504,0.66,False
electric-lawn-mower-stihl,review,5,3,2228,2.24,False
fire-pit-with-coffee-table,comparison,4,0,2209,1.81,False
fire-pit-with-hidden-propane-tank,comparison,2,0,1620,1.23,False
fire-pit-with-propane-tank-inside,roundup,12,0,2407,4.99,False
flat-roof-garden-shed,informational,2,0,2269,0.88,False
frames-for-porch-swings,buyer_guide,4,0,2077,1.93,False
garden-bed-drip-irrigation-kit,roundup,5,0,2781,1.8,False
garden-fairy-solar-lights,roundup,4,0,3098,1.29,False
garden-gloves-for-women,roundup,10,0,2403,4.16,False
garden-gloves-men,roundup,2,0,2335,0.86,False
garden-kneeler-chair,roundup,4,0,2809,1.42,False
garden-shed-with-loft,informational,2,2,2523,0.79,False
gazebo-14-x-12,buyer_guide,4,0,2149,1.86,False
gazebo-for-hot-tub,buyer_guide,5,0,2098,2.38,False
gazebo-for-swimming-pool,buyer_guide,4,0,2100,1.9,False
gazebo-with-gutters,buyer_guide,4,0,2212,1.81,False
gazebos-for-hot-tubs,roundup,2,0,2731,0.73,False
glass-greenhouse-kit,roundup,6,0,2315,2.59,False
gopher-control-products,buyer_guide,2,0,2412,0.83,False
gopher-pest-control,informational,2,0,2410,0.83,False
greenhouse-heater-solar,informational,4,0,2196,1.82,False
gutter-attachment-for-leaf-blower-stihl,review,5,3,2236,2.24,False
gutter-attachment-for-leaf-blower,roundup,4,0,2944,1.36,False
gutter-cleaner-leaf-blower,roundup,5,0,2917,1.71,False
hdpe-outdoor-dining-set,review,4,2,2037,1.96,False
heat-for-greenhouse,informational,5,0,2523,1.98,False
hedge-trimmer-ego,buyer_guide,8,0,2310,3.46,False
hiland-pyramid-patio-heater,review,5,2,2050,2.44,False
hot-tub-gazebo-with-sides,roundup,10,0,2842,3.52,False
huge-compost-bin,roundup,6,0,3081,1.95,False
infrared-patio-heater-electric,roundup,8,0,2982,2.68,False
insulated-garden-shed,informational,2,0,2236,0.89,False
kneeler-for-the-garden,roundup,2,0,2541,0.79,False
kneeling-pad-for-garden,roundup,4,0,2669,1.5,False
large-adirondack-chair,comparison,2,0,1517,1.32,False
latitude-run-outdoor-fire-pit-table,review,6,3,2379,2.52,False
lawn-vacuum-for-riding-mower,roundup,4,0,2997,1.33,False
lawnmaster-electric-lawn-mower,review,5,3,2174,2.3,False
leaf-and-lawn-vacuum,roundup,8,0,2773,2.88,False
leaf-blower-with-gutter-attachment,roundup,4,0,2919,1.37,False
lean-to-greenhouse-kits,roundup,4,0,2109,1.9,False
leather-garden-gloves-for-women,roundup,2,0,2458,0.81,False
little-wonder-leaf-blower,comparison,2,0,2082,0.96,False
long-garden-gloves-for-women,roundup,4,0,2300,1.74,False
loveseat-adirondack-chair,comparison,2,0,2003,1.0,False
mechanical-sprinkler-timer,roundup,5,0,2880,1.74,False
metal-garden-beds-raised,comparison,4,0,2239,1.79,False
metal-raised-garden-beds-with-legs,informational,2,0,2355,0.85,False
miniature-greenhouse-kit,roundup,5,0,2805,1.78,False
modern-bird-bath,roundup,5,0,3133,1.6,False
modular-metal-raised-garden-bed,comparison,4,0,2281,1.75,False
moen-smart-sprinkler-controller,review,5,3,2222,2.25,False
mosquito-netting-for-gazebos,informational,1,0,2138,0.47,False
orbit-battery-operated-sprinkler-timer,review,6,5,2342,2.56,False
orbit-smart-sprinkler-controller,review,6,5,2378,2.52,False
outdoor-bar-height-stools,roundup,10,0,2964,3.37,False
outdoor-bar-stools-swivel,roundup,5,0,3096,1.61,False
outdoor-counter-height-bar-stools,roundup,4,0,2999,1.33,False
outdoor-gazebo-curtains,buyer_guide,5,0,2262,2.21,False
outdoor-led-security-lighting,roundup,6,4,3278,1.83,False
outdoor-light-security-camera,comparison,4,0,2065,1.94,False
outdoor-motion-sensor-security-light,roundup,4,0,3085,1.3,False
outdoor-sectional-sofa-cover,buyer_guide,4,0,2113,1.89,False
outdoor-security-flood-lights,comparison,5,0,2380,2.1,False
outdoor-sofa-curved,roundup,5,0,2409,2.08,False
outdoor-sofa-iron,roundup,4,0,2957,1.35,False
outdoor-swivel-bar-stools,roundup,5,0,3000,1.67,False
outdoor-teak-rocking-chair,review,6,3,2164,2.77,False
outdoor-wicker-rocking-chair,comparison,11,0,2712,4.06,False
patio-heater-portable,roundup,5,0,2456,2.04,False
patio-infrared-heater,comparison,10,0,2220,4.5,False
pergola-extension-kit,informational,1,0,2414,0.41,False
pergola-hardware-kits,informational,1,0,2326,0.43,False
polywood-glider-bench,review,6,5,2277,2.64,False
porch-swing-daybed,comparison,4,0,2536,1.58,False
porch-swing-rope,comparison,7,0,2192,3.19,False
propane-fire-pit-burner,comparison,5,0,2293,2.18,False
propane-fire-pit-cover,comparison,4,0,2231,1.79,False
propane-fire-pit-insert,comparison,5,0,2219,2.25,False
propane-fire-pits-round,comparison,4,0,2239,1.79,False
propane-greenhouse-heater,informational,3,0,2360,1.27,False
pushing-leaf-blower,roundup,9,0,2913,3.09,False
raised-bed-garden-drip-irrigation-kit,roundup,5,0,2926,1.71,False
raised-garden-bed-metal,comparison,6,0,2121,2.83,False
rectangular-fire-pit-table,comparison,5,0,2269,2.2,False
robot-lawn-mower-garage,informational,4,2,2213,1.81,False
rocking-adirondack-chair,roundup,6,0,3200,1.88,False
rose-garden-gloves,review,6,4,2147,2.79,False
round-fire-pits-propane,comparison,6,0,2227,2.69,False
round-teak-outdoor-dining-set,review,6,4,2243,2.67,False
rubbermaid-compost-bin,review,5,3,2252,2.22,False
screen-gazebo-for-deck,roundup,5,0,1882,2.66,False
screened-gazebo-for-deck,roundup,5,0,2988,1.67,False
seed-catcher-for-bird-feeder,buyer_guide,4,0,2019,1.98,False
self-watering-elevated-garden-beds,comparison,6,0,2108,2.85,False
shipping-container-garden-shed,buyer_guide,8,0,2176,3.68,False
solar-bird-bath-bubbler,review,4,3,2042,1.96,False
solar-bubbler-for-bird-bath,roundup,5,0,3066,1.63,False
solar-chandelier-for-gazebo,buyer_guide,3,0,2135,1.41,False
solar-flower-garden-lights,comparison,6,0,2340,2.56,False
solar-globe-lights-for-garden,roundup,4,0,2881,1.39,False
solar-powered-garden-lights-for-sale,comparison,4,0,2264,1.77,False
sprinkler-timer-battery-operated,roundup,5,0,3171,1.58,False
squirrel-dome-for-bird-feeder,roundup,2,0,1837,1.09,False
stihl-battery-edger,review,5,3,2289,2.18,False
stihl-battery-operated-lawn-mower,review,5,3,2304,2.17,False
stihl-battery-operated-leaf-blower,review,5,3,2111,2.37,False
stihl-battery-powered-chainsaws,review,6,5,2277,2.64,False
stihl-battery-powered-edger,review,2,0,1978,1.01,False
stihl-battery-powered-leaf-blower,review,4,3,2109,1.9,False
stihl-cordless-lawn-mower,review,4,2,2031,1.97,False
stihl-cordless-leaf-blower,review,5,3,2263,2.21,False
stihl-strimmer-battery-operated,review,4,3,2190,1.83,False
suction-cup-window-bird-feeder,roundup,10,0,3004,3.33,False
sunbrella-adirondack-chair-cushions,review,5,3,2382,2.1,False
sunbrella-outdoor-sofa,review,4,3,2196,1.82,False
tall-adirondack-chair,buyer_guide,4,0,2057,1.94,False
teak-adirondack-chair,review,6,3,2246,2.67,False
teak-bench-garden,review,5,3,2430,2.06,False
teak-glider-bench,review,6,5,2429,2.47,False
teak-outdoor-bar-stools,review,1,0,1727,0.58,False
teak-outdoor-dining-set-for-4,buyer_guide,4,0,2216,1.81,False
teak-outdoor-dining-set-for-6,review,5,3,2206,2.27,False
teak-outdoor-dining-set,review,2,0,1495,1.34,False
teak-outdoor-dining-table-set,review,1,0,1970,0.51,False
teak-outdoor-garden-bench,review,5,3,2436,2.05,False
teak-outdoor-rocking-chair,review,3,0,1492,2.01,False
teak-porch-swing,review,6,5,2327,2.58,False
tractor-leaf-blower,review,5,4,2200,2.27,False
vego-elevated-garden-bed,review,5,4,2050,2.44,False
walk-behind-lawn-vacuum,roundup,4,0,3104,1.29,False
wall-mounted-patio-heater,roundup,8,0,2804,2.85,False
where-to-buy-compost-worms,informational,1,0,2133,0.47,False
where-to-buy-worms-for-compost,informational,1,0,2125,0.47,False
wood-burning-fire-pit-table,comparison,3,0,2318,1.29,False
wooden-raised-beds-garden-kits,roundup,5,0,2901,1.72,False
worm-castings-vs-compost,comparison,4,0,2005,2.0,False
worm-composting-kit,comparison,2,0,1995,1.0,False
